PGS id	GWAS tags	input name	verdict	COHO ID	label	acronym synonyms	other synonyms	type	same as	clashes with	example study	example PMID	example title	example quote	example quote URL	definition	definition source	drafted by	countries	location quote	location URL	parent	parent relation	parent quote	parent URL	note
Ansung	Ansung	Ansung Study	mint cohort	COHO:0000530	Ansan and Ansung Study			cohort	Ansan																	Same cohort as row Ansan: GWAS tag Ansung is on exactly the same 42 studies/3 PMIDs (31662442 x32, 36333282 x9, 39747571 x1) as tag Ansan, and PGS Ansung on exactly the same 33 scores as PGS Ansan; both mean the combined KoGES_Ansan and Ansung study. The acronym Ansung and the name 'Ansung Study' are carried on row Ansan. See row Ansan for evidence and for the option of splitting into Ansan (urban) and Ansung (rural) sub-cohorts.
Nagahama Study	Nagahama Study; Nagahama_Study	Nagahama Prospective Genome Cohort for the Comprehensive Human Bioscience	mint cohort	COHO:0000531	Nagahama Prospective Cohort for Comprehensive Human Bioscience	Nagahama Study|Nagahama_Study	Nagahama Prospective Genome Cohort for the Comprehensive Human Bioscience|Nagahama cohort	cohort			GCST90624113	PMID:40877534	A genome-wide association between foveal thickness and arrhythmia.	Genome-wide association study (GWAS) and replication studies were conducted in 9850 individuals from the Nagahama Study (from 2013 to 2016) and 935 individuals from the Hisayama Study.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A40877534+AND+SRC%3AMED&format=json&resultType=core	A population-based prospective cohort of about 9,800 residents aged 30–74 years of Nagahama City, a largely rural city in Shiga Prefecture, central Japan, recruited in 2008–2010 and run from Kyoto University Graduate School of Medicine, with blood samples, questionnaires, health examinations, genotyping and follow-up examinations (the first in 2013–2016) for genomic and clinical research.	PMID:26444713|PMID:28278155|PMID:40877534	Claude Opus 5.5 (Anthropic), 2026-09	Japan	This study cohort was recruited from the general population living in Nagahama city, a largely rural city of 125,000 inhabitants in Shiga prefecture, located in the center of Japan.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4622045/fullTextXML					Decided once for PGS rows 'Nagahama Study' and 'Nagahama_Study' (same cohort; the second row points here). Tag 'Nagahama Study': 6 GWAS Catalog studies over 2 PMIDs (PMID:34887591 x5, PMID:35551307 x1); tag 'Nagahama_Study': 42 studies over 4 PMIDs (PMID:40181193 x23, PMID:41325697 x15, PMID:34059833 x3, PMID:40877534 x1); all but PMID:40877534 are multi-ancestry consortium papers (GLGC, DIAMANTE, CHARGE gene-sleep, MAGIC) whose open main texts do not name Nagahama. Example GCST90624113 is the only GCST of PMID:40877534 (Kyoto group), whose abstract gives the quote. Grepped COHO (coho_list, coho-edit.owl) and the review file for Nagahama, Kyoto, Shiga: no match; no clash. Label is the full name the cohort's own papers use ('Nagahama Prospective Cohort for Comprehensive Human Bioscience (Nagahama Study)', PMC4622045, PMC5344328, PMC12394555); the PGS name 'Nagahama Prospective Genome Cohort for the Comprehensive Human Bioscience' also appears in the literature (30 Europe PMC hits) and is kept as other synonym. Both tags kept as acronym synonyms (they differ by space vs underscore). Definition: recruitment 2008-2010, ages 30-74, 9,809 volunteers (PMC4622045 methods), Nagahama City 125,000 inhabitants in central Japan and Kyoto ethics approval (PMC5344328), first follow-up 2013-2016 (PMC12394555). Location quote from PMC4622045 methods.
Nagahama_Study	Nagahama Study; Nagahama_Study	Nagahama Prospective Genome Cohort for the Comprehensive Human Bioscience	mint cohort	COHO:0000531	Nagahama Prospective Cohort for Comprehensive Human Bioscience			cohort	Nagahama Study																	Same cohort as PGS row 'Nagahama Study' (identical PGS name; PGS lists each id as the other's alternative name); evidence, synonyms and tag counts are on that row.
TUM	TUM	Technical University of Munich	not a cohort								GCST90093327	PMID:33143745	Treatment- and population-specific genetic risk factors for anti-drug antibodies against interferon-beta: a GWAS.	The primary aim of the present, retrospective study was to characterize the contribution of genetic risk to ADA development by analyzing a large, cross-sectional sample from two different sites: the Karolinska Institutet Stockholm, Sweden (KI), and the Technical University of Munich, Germany (TUM).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7641861/fullTextXML											The Technical University of Munich is a university; the tag (42 GWAS Catalog studies, 2 PMIDs) labels whichever unnamed TUM patient sample a paper used: in PMID:33143745 (32 GCSTs) the German cross-sectional sample of interferon-beta-treated multiple sclerosis patients (1488 eligible at TUM), analysed beside the Karolinska sample (tag Karolinska, row Karolinska); in PMID:36066633 (10 GCSTs, EADB CSF biomarker GWAS) row 'Germany3 TUM' of its cohort table (PMC9547780), a CSF biomarker sample of about 150 individuals from TUM with no further description in the main text. Neither paper names a cohort or design paper for these samples, and they are different sets of people, so no single cohort can be minted. Grepped coho-edit.owl, coho_list and review_names for TUM, Munich: no term (TUM only occurs inside 'Tumor'). If the MS sample were minted, a curator might look for the name of the TUM MS biobank; I found none in the paper. Quote from the PMID:33143745 full text (Methods).
	BMBB	BMBB	existing	COHO:0000424	BioMe Biobank			cohort																		"GWAS-only tag, already an acronym synonym of COHO:0000424 BioMe Biobank (added in the tier-A round, review row BioMe; coho-edit.owl grep 2026-09-23). Tag BMBB: 42 GWAS Catalog studies over 3 PMIDs (34107879 x32, 34582791 x6, 32226016 x4), PAGE and TOPMed papers; PMC8191001 (PMID:34107879, fetched 2026-09-23) lists ""BioMe"" and says ""Data of BioMe Biobank used in this study was provided by the Charles Bronfman Institute for Personalized Medicine at the Icahn School of Medicine at Mount Sinai."" Nothing to add."
CKDGen	CKDGen	Chronic Kidney Disease Genetics (CKDGen) Consortium	mint aggregation	COHO:0000532	Chronic Kidney Disease Genetics Consortium	CKDGen	CKDGen Consortium|CKD Genetics Consortium|Chronic Kidney Disease Genetics (CKDGen) Consortium	cohort aggregation			GCST90103632	PMID:34272381	Discovery and prioritization of variants and genes for kidney function in >1.2 million individuals.	By GWAS meta-analysis for creatinine-based estimated glomerular filtration rate (eGFR) from the Chronic Kidney Disease Genetics Consortium and UK Biobank (n = 1,201,909), we expand the number of eGFRcrea loci (424 loci, 201 novel; 9.8% eGFRcrea variance explained by 634 independent signal variants).	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:34272381%20AND%20SRC:MED&resultType=core&format=json	An international collaborative consortium, co-directed by Anna Köttgen and Cristian Pattaro with its data hosted at the University of Freiburg, that meta-analyses genome-wide association results from many, mostly population-based, studies to investigate the genetic basis of kidney function and disease, releasing summary statistics for markers such as estimated glomerular filtration rate and blood urea nitrogen.	https://ckdgen.imbi.uni-freiburg.de/|https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8285412/fullTextXML	Claude Opus 5.5 (Anthropic), 2026-09								"Consortium (aggregation): the CKDGen data site says ""The CKDGen Consortium is an international collaborative effort dedicated to the investigation of the genetic underpinnings of kidney function and disease (PMID: 31980069)""; PMC8285412 (Stanzick et al. 2021) says its downloaded CKDGen eGFRcrea meta-analysis included ""121 study-specific GWAS results"" and ""Most studies included in CKDGen meta-analyses were population-based"". The consortium profile PMID:31980069 (Köttgen & Pattaro 2020, Kidney Int) has no abstract or open-access text in Europe PMC, so not used. 41 GWAS Catalog studies over 7 PMIDs (38233393 x21, 38858783 x10, 34272381 x4, 38658550 x2, 38812969 x2, 34548389 x1, 37644460 x1); abstracts/full texts of 34272381, 37644460, 38233393, 38858783, 38658550 and 34548389 name CKDGen; 38812969 (UACR in sub-Saharan Africans) does not name it in its open text - curator may check. Most tagged studies are re-analyses of CKDGen summary statistics. Left unlocated: sources say international without naming the contributing countries (Freiburg hosts the data, not a recruitment site). Label follows the example abstract ('Chronic Kidney Disease Genetics Consortium'); PGS name kept as other synonym. Example quote is from the Europe PMC abstract (contains non-breaking/thin spaces as in the source). No COHO or review-file match or clash (grepped coho-edit.owl, coho_list.txt and review_names.tsv for CKDGen, 'Chronic Kidney'; only COHO:0000190 German Chronic Kidney Disease Study, a different cohort)."
ToMMo	ToMMo; Tohoku Medical Megabank	Tohoku Medical Megabank	mint aggregation	COHO:0000533	Tohoku Medical Megabank Project	ToMMo|Tohoku Medical Megabank|TMM	Tohoku Medical Megabank Organization	cohort aggregation			GCST90239583	PMID:36246171	Genome-wide Association Study of Axial Length in Population-based Cohorts in Japan: The Tohoku Medical Megabank Organization Eye Study.	In total, 33 483 participants aged > 18 years who were recruited into the community-based cohort (CommCohort) and the birth and three-generation cohort (BirThree Cohort) of the ToMMo Eye Study were examined.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A36246171+AND+SRC%3AMED&format=json&resultType=core	A Japanese genome cohort project launched after the 2011 Great East Japan Earthquake and run by the Tohoku Medical Megabank Organization of Tohoku University and the Iwate Tohoku Medical Megabank Organization of Iwate Medical University, comprising two prospective cohorts in Miyagi and Iwate Prefectures, the TMM Community-Based Cohort Study of adults and the TMM Birth and Three-Generation Cohort Study, with an integrated biobank of health information, biospecimens and genome and omics data.	PMID:27374138	Claude Opus 5.5 (Anthropic), 2026-09	Japan	These people were recruited from health checkups conducted in two prefectures of Northeastern Japan: Miyagi (n = 32,459) and Iwate (n = 20,906).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13175889/fullTextXML					Tag ToMMo: 40 GWAS Catalog studies over 5 PMIDs (PMID:40205036 x22 osteoarthritis consortium, PMID:38277453 x8, PMID:38036781 x7, PMID:42009823 x2, PMID:36246171 x1); tag 'Tohoku Medical Megabank': 15 studies, all PMID:40226751. The tags cover different subsets: the CommCohort only (PMID:42009823 'TMM-CommCohort 67K'; PMID:38277453 'Tohoku Medical Megabank Community-Based Cohort (TMM) Study'), the BirThree cohort only (PMID:40226751 pregnant women of the 'TMM BirThree Cohort Study'), both (PMID:36246171 example) or an unspecified 'TMM-50K' set (PMID:38036781). Typed as an aggregation because the design paper (PMID:27374138 abstract) says TMM 'started two prospective cohort studies in Miyagi and Iwate Prefectures' (CommCohort, 80,000 planned, and BirThree, 70,000 planned); neither member is in COHO, the review file or tier B, so they could be minted later as members (profiles: Hozawa 2021 J Epidemiol; Kuriyama 2020 Int J Epidemiol). Strictly, ToMMo is the Tohoku University organization (PMID:34782693: 'the Tohoku Medical Megabank Organization (ToMMo) is operating at Tohoku University, while in the Iwate Prefecture, the Iwate TMM Organization is operating at Iwate Medical University'), but GWAS and PGS use it for the project's cohort data, so it is kept as acronym and the organization name as other synonym. Other GWAS tags for the same project, outside tier B: TMM (5 studies, PMID:38509478, BirThree only) added as acronym; 'Tohoku Medical Megabank Project' (6 studies, PMID:34782693) equals the label. Grepped COHO (coho_list, coho-edit.owl), review file and tier-B list for Tohoku, Megabank, ToMMo, TMM, CommCohort, BirThree: no match, no clash. Location quote is from PMC13175889 (PMID:42009823) methods, about the CommCohort; the design abstract also names Miyagi and Iwate Prefectures. Example quote is from the Europe PMC abstract (after the run-in heading 'Participants').
FHCRC	FHCRC	Fred Hutchinson Cancer Research Center, Seattle US	mint cohort	COHO:0000534	Fred Hutchinson Prostate Cancer Study	FHCRC|FH	Fred Hutchinson Cancer Center Prostate Cancer Study	cohort		FHCRC Hematopoietic Cell Transplantation Cohort	GCST90321087	PMID:37555839	Germline Genetic Variants Associated with Somatic TMPRSS2:ERG Fusion Status in Prostate Cancer: A Genome-Wide Association Study.	We performed a genome-wide association study with 396 TMPRSS2:ERG(+) cases, 390 TMPRSS2:ERG(-) cases, and 2,386 cancer-free controls from the Physicians' Health Study (PHS), the Health Professionals Follow-up Study (HPFS), and a Seattle-based Fred Hutchinson (FH) Cancer Center Prostate Cancer Study.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A37555839+AND+SRC%3AMED&format=json&resultType=core	A population-based case-control study of prostate cancer in King County, Washington, run at the Fred Hutchinson Cancer Center, with men aged 35–74 diagnosed in 1993–1996 or 2002–2005 and tumours coded by the Seattle-Puget Sound SEER registry, and age-matched controls without prostate cancer found by random-digit dialling; its genotyped samples contribute to the PRACTICAL consortium studies of inherited prostate cancer risk.	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC10592169/unicode	Claude Opus 5.5 (Anthropic), 2026-09	United_States	The FH Study included 402 European-American male residents of King County, Washington, aged 35–74 years and diagnosed with prostate cancer either in 1993–1996 or in 2002–2005, and underwent radical prostatectomy as primary treatment for clinically localized disease.	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC10592169/unicode	Prostate Cancer Association Group to Investigate Cancer-Associated Alterations in the Genome	memberOf	Both the HPFS/PHS and FH genetic studies are within the framework of the PRACTICAL (Prostate Cancer Association Group to Investigate Cancer-Associated Alterations in the Genome) Consortium.	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC10592169/unicode	"Tag FHCRC means two different cohorts. PGS id FHCRC (""Fred Hutchinson Cancer Research Center, Seattle US"", an institution name) is used by PGS000351/PGS000742/PGS000751 (development) and PGS000030/PGS000741 (evaluation), all prostate/ovarian scores whose sample cohort lists are PRACTICAL/BCAC members (PGS REST cohort/FHCRC and score endpoints, 2026-09-23); PRACTICAL papers name this study only by its institution: ""Fred Hutchinson Cancer Research Center (FHCRC)"" (Table 1 footnote of PMC4596899, country USA). In the GWAS Catalog only the 3 studies of PMID:37555839 (TMPRSS2:ERG GWAS, GCST90321087-89) are this prostate study; the other 36 FHCRC studies (PMID:34996099) are the Fred Hutch haematopoietic cell transplant cohort, given its own row next (same acronym, clash recorded both ways). Label from the figure legends of PMC10592169 (""the Fred Hutchinson (FH) Prostate Cancer Study""); the Methods call it ""The FH Study"". The two recruitment waves (1993-1996, 2002-2005) look like two population-based case-control studies (the paper says ""the studies were approved by the Fred Hutchinson Cancer Center Institutional Review Board""); I did not find or fetch their design papers, so the label may need a curator check. Definition, location and parent quotes from the BioC text of the PMC author manuscript (PMC10592169; the paper is not open access in Europe PMC); the BioC text runs section labels into the text, but the quoted sentences are verbatim. Example quote is from the Europe PMC abstract. Acronym FH clashes with nothing in COHO or the review file (FH is also familial hypercholesterolaemia, not a cohort). Parent PRACTICAL is not in COHO or the review file (tier-D PGS id / GWAS tag PRACTICAL): added as a new parent row at the end of this batch."
	FHCRC	Fred Hutchinson Cancer Research Center hematopoietic cell transplantation cohort	mint cohort	COHO:0000535	FHCRC Hematopoietic Cell Transplantation Cohort	FHCRC	FHCRC study cohort|Fred Hutch cohort|STAMPEED: Whole Genome Association Analysis of Hematopoietic Cell Transplant (HCT) Outcomes	cohort		FHCRC	GCST90102555	PMID:34996099	Genetic associations with immune-mediated outcomes after allogeneic hematopoietic cell transplantation.	The FHCRC study cohort included 4270 recipients of European ancestry who had a first allogeneic HCT with marrow or growth factor-mobilized blood cells at the Fred Hutchinson Cancer Research Center and Seattle Cancer Care Alliance from 1990 through 2011.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9043943/fullTextXML	A retrospective cohort of patients with a haematological malignancy or myelodysplastic syndrome who had a first allogeneic haematopoietic cell transplant at the Fred Hutchinson Cancer Research Center and Seattle Cancer Care Alliance from 1990 to 2011, together with their donors, genotyped to find variants associated with graft-versus-host disease, recurrent malignancy and other complications after transplantation.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9043943/fullTextXML|https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001918.v1.p1	Claude Opus 5.5 (Anthropic), 2026-09	United_States	The study population represents a large cohort from the Fred Hutchinson Cancer Research Center and consists of 4,471 recipients and 4,628 donors containing 4,258 recipient-donor pairs.	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001918.v1.p1					"Split from PGS id FHCRC (previous row): 36 of the 39 GWAS Catalog studies tagged FHCRC (all of PMID:34996099, GCST90102555 onwards) are this transplant cohort, not the PRACTICAL prostate study; the PGS Catalog does not use it. Not a PGS row, so PGS id is empty and input name is descriptive. The paper calls it ""the FHCRC study cohort"" and ""the Fred Hutch cohort""; its genotypes are dbGaP phs001918 (""STAMPEED: Whole Genome Association Analysis of Hematopoietic Cell Transplant (HCT) Outcomes"", ""Study Type: Cohort""; page fetched 2026-09-23, v1 superseded by v2), so the label is my construction from those names and a curator may prefer another. A replication set from NMDP/CIBMTR is used in the same paper but is not this cohort. Location: Fred Hutchinson Cancer Research Center is in Seattle, Washington (paper affiliations: ""Fred Hutchinson Cancer Research Center, Seattle, WA""); the location quote (dbGaP study description) names the centre, not the city or country, so the country rests on the centre's known location - a curator may prefer the paper sentence naming the Seattle Cancer Care Alliance (the example quote). Acronym FHCRC shared with the previous row; each needs an editor note. No COHO match for Fred Hutch / FHCRC / transplant cohorts (grep 2026-09-23)."
MAGIC	MAGIC	Meta-Analyses of Glucose and Insulin-related Traits Consortium	mint aggregation	COHO:0000536	Meta-Analyses of Glucose and Insulin-related traits Consortium	MAGIC	Meta-Analysis of Glucose and Insulin-related traits Consortium	cohort aggregation		Molecular Genetics of Adverse Drug Reactions in Childhood Study	GCST90256400	PMID:39280063	Large-scale exome array summary statistics resources for glycemic traits to aid effector gene prioritization.	MAGIC (Meta-Analysis of Glucose and Insulin-related traits Consortium) was established to focus on the genetic analysis of glycemic traits in individuals without diabetes.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11399760/fullTextXML	A collaborative consortium that combines genome-wide association and exome-array data from many cohorts of individuals without diabetes in meta-analyses of glycaemic traits (fasting glucose, fasting insulin, 2-hour glucose and HbA1c) and measures of insulin secretion and sensitivity, to find loci influencing glycaemic and metabolic traits, and releases its summary results.	https://magicinvestigators.org/|https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11399760/fullTextXML	Claude Opus 5.5 (Anthropic), 2026-09								"Consortium (aggregation): its website says MAGIC ""represents a collaborative effort to combine data from multiple GWAS to identify additional loci that impact on glycemic and metabolic traits""; the exome-array paper (PMC11399760) drew on ""up to 64 cohorts"". 39 GWAS Catalog studies over 7 PMIDs (39280063 x21, 36808568 x9, 35771237 x3, 33910581 x2, 39349817 x2, 36699085 x1, 41686896 x1). TAG USED FOR TWO COHORTS: 38 studies over 6 PMIDs mean this consortium (full texts of 39280063, 36808568, 35771237, 33910581, 39349817 and 41686896 name it, mostly as a source of summary statistics), but GCST90267543 (PMID:36699085, platinum ototoxicity in children) means the United Kingdom Molecular Genetics of Adverse Drug Reactions in Children Study (UK MAGIC), given its own row in this batch (PGS id empty, label 'Molecular Genetics of Adverse Drug Reactions in Children Study'); acronym MAGIC clashes between the two rows and both need editor notes; curator may prefer to move GCST90267543's tag. Label as on magicinvestigators.org ('Meta-Analyses ... traits Consortium', lower-case 'traits'); PGS name capitalises 'Traits' (differs only by case, not kept); the example paper's singular 'Meta-Analysis' form kept as other synonym. Example quote from PMC11399760 Methods. Left unlocated: participating cohorts are counted, not listed by country, in the sources read (Exeter hosts the website only). No COHO or review-file match (grepped coho-edit.owl, coho_list.txt, review_names.tsv for MAGIC, 'Glucose and Insulin')."
	MAGIC	MAGIC	mint cohort	COHO:0000537	Molecular Genetics of Adverse Drug Reactions in Childhood Study	MAGIC|UK-MAGIC	Molecular Genetics of Adverse Drug Reactions in Children Study|United Kingdom Molecular Genetics of Adverse Drug Reactions in Children Study|United Kingdom MAGIC	cohort		MAGIC	GCST90267543	PMID:36699085	Genome-wide analyses of platinum-induced ototoxicity in childhood cancer patients: Results of GO-CAT and United Kingdom MAGIC consortia.	Therefore, a genome-wide association study was performed in the Genetics of Childhood Cancer Treatment (GO-CAT) cohort (n = 261) and the United Kingdom Molecular Genetics of Adverse Drug Reactions in Children Study (United Kingdom MAGIC) cohort (n = 248).	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:36699085%20AND%20SRC:MED&resultType=core&format=json	A UK study of the molecular genetics of adverse drug reactions in children, recruiting carefully phenotyped retrospective cohorts of treated children at UK hospitals; its cisplatin cohort comprises platinum-treated paediatric cancer patients recruited between 2012 and 2018 at eight UK sites for genetic studies of ototoxicity.	PMID:28445188|https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9870026/fullTextXML	Claude Opus 5.5 (Anthropic), 2026-09	United_Kingdom	The United Kingdom MAGIC study cohort was a retrospective cohort of platinum-treated pediatric cancer patients recruited between January 2012 and March 2018 at eight United Kingdom sites	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9870026/fullTextXML					"Added 2026-09-23 because the GWAS tag MAGIC also denotes this cohort: of the 39 MAGIC-tagged studies, only GCST90267543 (PMID:36699085, GO-CAT and UK MAGIC ototoxicity GWAS, which meta-analyses the GO-CAT and UK MAGIC cohorts) means this study; the other 38 (6 PMIDs) mean the Meta-Analyses of Glucose and Insulin-related traits Consortium (PGS id MAGIC, row above). Acronym MAGIC clashes with that row; both need editor notes (it has no PGS id, so the MAGIC row cites this row by label). Curator may prefer to move the GCST90267543 tag. Label follows the study team's own paper PMID:28445188 (Thiesen et al. 2017; BioC full text PMC5432027: ""Participants were recruited to the Molecular Genetics of Adverse Drug Reactions in Childhood (MAGIC) study.""); the example paper's 'United Kingdom Molecular Genetics of Adverse Drug Reactions in Children Study' kept as other synonym; UK-MAGIC is also used in PMC9870026. The wider scope of MAGIC beyond cisplatin (other drugs, controls, sizes) was not verified from an open source - definition kept to what was read (2017 paper: 149 children from seven UK centres for the cisplatin sub-study, target of 400 for a GWAS). Example quote from the Europe PMC abstract (contains thin spaces as in the source); location quote from PMC9870026 Methods. No COHO or review-file match (grepped coho-edit.owl, coho_list.txt, review_names.tsv for MAGIC, 'Adverse Drug'). GCST90267543 is also tagged GO-CAT (Genetics of Childhood Cancer Treatment), not in this batch."
RAINE	RAINE; Raine	Western Australian Pregnancy Cohort Study	mint cohort	COHO:0000538	Raine Study	RAINE	Western Australian Pregnancy Cohort (Raine) Study|Western Australian Pregnancy Cohort Study	cohort			GCST90244092	PMID:36914875	Multi-ancestry genome-wide association analyses improve resolution of genes and pathways influencing lung function and chronic obstructive pulmonary disease risk.	Next, we meta-analyzed two EUR-ancestry children’s cohorts—ALSPAC and Raine Study (age, 13–15 yr, n = 6,070)—to obtain effect estimates in children at the new lead SNPs.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10011137/fullTextXML	A pregnancy cohort in Western Australia for which 2,900 mothers were recruited during pregnancy from 1989 at King Edward Memorial Hospital and surrounding clinics, with the mothers (Generation 1) and their 2,868 offspring (Generation 2) followed through childhood and adolescence to study how early life shapes later health and behaviour.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12873190/fullTextXML	Claude Opus 5.5 (Anthropic), 2026-09	Australia	The Raine Study is a well-characterised pregnancy cohort located in Western Australia.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12873190/fullTextXML					51 GWAS Catalog studies: tag RAINE 39 studies over 5 PMIDs (32917775 x24 leptin, 37798380 x11 placental weight, 37794016 x2 atopic dermatitis, 35378236 x1 internalizing symptoms, 37402774 x1 skull BMD) and tag Raine 12 studies over 1 PMID (36914875, lung function); tags differ only by case, one acronym kept. The open full texts of the RAINE-tagged papers checked (PMC10632150, PMC10319806, PMC10859168, PMC10550990; 32917775 has no open text) do not name the Raine Study in their main text (contributing cohorts presumably in supplements), so the example is a Raine-tagged study of PMID:36914875 whose full text names it. Label: the cohort calls itself 'the Raine Study' (leading 'The' dropped, as for Reykjavik Study); the formal name 'Western Australian Pregnancy Cohort (Raine) Study' appears in the title of the Generation 2 cohort profile PMID:28064197 (no open text or abstract in Europe PMC, so not used as a source); the PGS name drops '(Raine)' and is kept as other synonym. Definition and location quote from PMC12873190 (Methods, 2026 Raine Study paper). No COHO or review-file match or clash (grepped coho-edit.owl, coho_list.txt, review_names.tsv for Raine, 'Western Australia', 'Pregnancy Cohort'); WASHS (Western Australia Sleep Health Study) is a different tier-B row.
PROSPER	PROSPER	Prospective Study of Pravastatin in the Elderly at Risk	mint cohort	COHO:0000539	Prospective Study of Pravastatin in the Elderly at Risk	PROSPER		cohort			GCST90102434	PMID:35069183	The Pharmacogenetics of Statin Therapy on Clinical Events: No Evidence that Genetic Variation Affects Statin Response on Myocardial Infarction.	The Prospective Study of Pravastatin in the Elderly at Risk (PROSPER) trial was supported by an investigator-initiated grant from Bristol-Myers Squibb, USA.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8769168/fullTextXML	A randomised, double-blind, placebo-controlled trial population of 5,804 men and women aged 70 to 82 with pre-existing vascular disease or risk factors for it, screened in Scotland, Ireland and the Netherlands and randomised to pravastatin 40 mg/day or placebo for about 3.2 years to test whether statin treatment reduces coronary and cerebrovascular events in the elderly.	PMID:12097148|PMID:12457784	Claude Opus 5.5 (Anthropic), 2026-09	United_Kingdom|Republic_of_Ireland|Netherlands	In Scotland, Ireland, and the Netherlands, 23,770 individuals were screened, and 5,804 subjects (2,804 men and 3,000 women), aged 70 to 82 years (average 75 years) and with baseline cholesterol 4.0-9.0 mmol/l, were randomised.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:12097148%20AND%20SRC:MED&resultType=core&format=json					38 GWAS Catalog studies over 8 PMIDs (36050321x18, 36918541x8, 34732054x6, 40038546x2, 35069183x1, 35551307x1, 38652672x1, 40050429x1). No match for prosper or pravastatin in coho-edit.owl, coho_list.txt or the review file. Typed as cohort: it is a trial population, like other trial cohorts in COHO. Example quote from the acknowledgements of PMID:35069183 (statin pharmacogenetics GWAS, PMC8769168), whose methods list PROSPER among two randomized controlled trials in stage one; its GWAS was done within the PHASE project (PHArmacogenetic Study of Statins in the Elderly at Risk), which a curator may want as a synonym or separate term. Definition and location quote from the abstracts of PMID:12097148 (baseline paper, open access) and PMID:12457784 (main results). Scotland mapped to United_Kingdom; the Irish centre was the University of Cork (author affiliations in PMC134480), hence Republic_of_Ireland.
GenSalt	GENSALT; GENSalt; GenSALT; GenSalt	Genetic Epidemiology Network of Salt-Sensitivity Study	mint cohort	COHO:0000540	Genetic Epidemiology Network of Salt Sensitivity	GenSalt	Genetic Epidemiology Network of Salt-Sensitivity Study|Genetic Epidemiology Network of Salt-Sensitivity|GenSalt Study	cohort			GCST90093093	PMID:33418499	Whole genome sequence analyses of eGFR in 23,732 people representing multiple ancestries in the NHLBI trans-omics for precision medicine (TOPMed) consortium.	The following studies contributed data: Old Order Amish, Atherosclerosis Risk in Communities (ARIC), Framingham Heart Study (FHS), Genetic Epidemiology Network of Arteriopathy (GENOA), Genetic Epidemiology Network of Salt Sensitivity (GenSalt)	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7804602/fullTextXML	A family feeding study of 3,153 participants from 658 families in rural China, each ascertained through a proband with untreated prehypertension or stage-1 hypertension, who underwent seven-day low-sodium, high-sodium and high-sodium with potassium supplementation dietary interventions, to localise and identify genes influencing blood pressure responses to dietary sodium and potassium.	PMID:17443206	Claude Opus 5.5 (Anthropic), 2026-09	China	Each family was ascertained through a proband with untreated prehypertension or stage-1 hypertension in rural China.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:17443206%20AND%20SRC:MED&resultType=core&format=json					74 GWAS Catalog studies over 8 PMIDs, under four case variants of one tag: GenSalt 37 (6 PMIDs), GENSALT 23 (PMID:40181193), GENSalt 8 (PMID:36477530), GenSALT 6 (PMID:38162683); one acronym (GenSalt, the study's own spelling) kept, as tier A did. All tagged papers are TOPMed or CHARGE multi-cohort analyses; the example (GenSalt tag) names it in the PMC7804602 Methods list of TOPMed studies (dbGaP phs001217). No match in COHO (coho_list.txt, coho-edit.owl and components grep for GenSalt, Salt 2026-09-23) or the review file; no acronym clash. Label from the design paper abstract (PMID:17443206, J Hum Hypertens 2007; Europe PMC full text PMC2377400 returned HTTP 500), which is the source of the definition and location quote; PGS name (hyphenated, with 'Study') kept as other synonym. NHLBI funding (U01HL072507) per PMC10755672 acknowledgements.
