ID	TYPE	label	participants	participants evidence	participants source	participants note	cases	cases evidence	cases source	cases note	controls	controls evidence	controls source	controls note
COHO:0001024	owl:NamedIndividual	NIMH Alzheimer's Disease Genetics Initiative	1397	The total sample is comprised of 437 independent families with at least two affected siblings, totaling 1,397 individuals.	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC2661765/unicode	individuals in 437 families with at least two affected siblings (total NIMH AD sample), 2009								
COHO:0001025	owl:NamedIndividual	Genomic Health Initiative	60000	To date, GHI includes more than 60,000 participants	https://gut.bmj.com/content/gutjnl/early/2026/07/01/gutjnl-2026-338800/DC1/embed/inline-supplementary-material-1.pdf?download=true	participants enrolled, stated as 'more than 60,000' (lower bound), 2026								
COHO:0001026	owl:NamedIndividual	MRC National Survey of Health and Development	5362	Methods The NSHD is based on a social class stratified sample of 5,362 births of all singleton births that occurred within marriage in a week in March 1946 in England, Scotland and Wales.	https://europepmc.org/api/getPdf?pmcid=PMC3637651	births in the original social-class-stratified sample, March 1946								
COHO:0001027	owl:NamedIndividual	Oxford Down Syndrome Cohort Study	450	Of 450 neonates with DS, 113 (25%) had GATA1s mutations, among whom 20/113 (17.7%) had multiple mutations and 59 (52%) were clinically silent.	PMID:40561204	neonates with Down syndrome studied in the prospective cohort's mature analysis (2025)								
COHO:0001028	owl:NamedIndividual	Pharmacogenetics of Opioid Substitution Treatment Response	3319	Briefly, participants (nGENOA = 1536, nPOST = 3319) were recruited from 76 CATC sites across Ontario, Canada (GENOA, 2013–2016, POST, 2018–present).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10724251/fullTextXML	participants recruited to POST, 2018 onward (2023)								
COHO:0001029	owl:NamedIndividual	PROCAM-2 Study	17312	For PROCAM-2, 17,312 employees were recruited in more than 50 regional companies and government authorities on a voluntary basis.	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41380-024-02688-1/MediaObjects/41380_2024_2688_MOESM1_ESM.pdf	employees recruited and examined 2000-2007								
COHO:0001030	owl:NamedIndividual	PsyCourse Study	1786	Number of participants (clinical and control combined) by recruitment center descT(v1_center) ## 1 2 3 4 5 6 7 10 11 12 13 14 16 18 19 ## [1,] No. cases 19 39 13 5 50 62 32 8 13 36 13 264 378 104 100 ## [2,] Percent 1.1 2.2 0.7 0.3 2.8 3.5 1.8 0.4 0.7 2 0.7 14.8 21.2 5.8 5.6 ## 20 21 22 23 25 ## [1,] 227 147 102 47 127 1786	https://data.ub.uni-muenchen.de/390/1/230614_PsyCourse_v6.0.html	clinical and control participants assessed at baseline, 2012-2019 (dataset 6.0)	1320	Number of participants (clinical and control combined) by recruitment center descT(v1_center) ## 1 2 3 4 5 6 7 10 11 12 13 14 16 18 19 ## [1,] No. cases 19 39 13 5 50 62 32 8 13 36 13 264 378 104 100 ## [2,] Percent 1.1 2.2 0.7 0.3 2.8 3.5 1.8 0.4 0.7 2 0.7 14.8 21.2 5.8 5.6 ## 20 21 22 23 25 ## [1,] 227 147 102 47 127 1786	https://data.ub.uni-muenchen.de/390/1/230614_PsyCourse_v6.0.html	clinical and control participants assessed at baseline, 2012-2019 (dataset 6.0)	466	Number of participants (clinical and control combined) by recruitment center descT(v1_center) ## 1 2 3 4 5 6 7 10 11 12 13 14 16 18 19 ## [1,] No. cases 19 39 13 5 50 62 32 8 13 36 13 264 378 104 100 ## [2,] Percent 1.1 2.2 0.7 0.3 2.8 3.5 1.8 0.4 0.7 2 0.7 14.8 21.2 5.8 5.6 ## 20 21 22 23 25 ## [1,] 227 147 102 47 127 1786	https://data.ub.uni-muenchen.de/390/1/230614_PsyCourse_v6.0.html	clinical and control participants assessed at baseline, 2012-2019 (dataset 6.0)
COHO:0001031	owl:NamedIndividual	Queensland Study of Melanoma: Environmental and Genetic Associations	3471	A total of 3,471 subjects were interviewed in the Q-MEGA study.	https://pmc.ncbi.nlm.nih.gov/articles/PMC3677021/	cases and relatives interviewed in the 2002-2005 follow-up								
COHO:0001032	owl:NamedIndividual	Royal Brompton & Harefield Cardiovascular Research Centre Biobank	6000	Over 6000 patients and family members have joined the biobank.	https://www.hra.nhs.uk/planning-and-improving-research/application-summaries/research-summaries/royal-brompton-harefield-cardiovascular-research-centre-biobank/	patients and family members who have joined (a lower bound: 'over 6000'), 2019								
COHO:0001033	owl:NamedIndividual	Genome-Wide Association Study of Breast Cancer in the African Diaspora	3686	After these exclusions, a total of 3,686 subjects (1,657 cases and 2,029 controls) were included for the final analysis.	https://pmc.ncbi.nlm.nih.gov/articles/PMC5975608/	cases and controls in the ROOT GWAS after quality control	1657	After these exclusions, a total of 3,686 subjects (1,657 cases and 2,029 controls) were included for the final analysis.	https://pmc.ncbi.nlm.nih.gov/articles/PMC5975608/	cases and controls in the ROOT GWAS after quality control	2029	After these exclusions, a total of 3,686 subjects (1,657 cases and 2,029 controls) were included for the final analysis.	https://pmc.ncbi.nlm.nih.gov/articles/PMC5975608/	cases and controls in the ROOT GWAS after quality control
COHO:0001034	owl:NamedIndividual	Study of Eczema and Asthma To Observe the influence of Nutrition	2000	Two thousand women were recruited for a prospective investigation of the influence of maternal antioxidant intake in pregnancy on the development of asthma and eczema in children.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A15531754+AND+SRC%3AMED&format=json&resultType=core	pregnant women recruited								
COHO:0001035	owl:NamedIndividual	Treatment of Emphysema with a Gamma-Selective Retinoid Agonist	491	"""enrollmentInfo"":{""count"":491,""type"":""ACTUAL""}"	https://clinicaltrials.gov/api/v2/studies/NCT00413205	actual enrolment in the trial (2007-2010)								
COHO:0001036	owl:NamedIndividual	TRoglitazone In the Prevention Of Diabetes	266	was a randomized, placebo-controlled trial of 266 women with recent gestational diabetes, with 126 completing the treatment of 3.6 years, with an eight-month, post-drug washout period.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC3263195/fullTextXML	women randomised								
COHO:0001037	owl:NamedIndividual	UK Digital Heart Project	1850	Healthy volunteers (n = 1850; 55% females, mean age 41 ± 13 years) were recruited prospectively to the Digital Heart Project and underwent both standard CMR and high-spatial resolution 3D-CMR (Philips 1.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5032181/fullTextXML	healthy volunteers recruited and imaged (2016)								
COHO:0001038	owl:NamedIndividual	Vitamin Intervention for Stroke Prevention	3680	3680 adults with nondisabling cerebral infarction at 56 university-affiliated hospitals, community hospitals, private neurology practices, and Veterans Affairs medical centers across the United States, Canada, and Scotland.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A14762035+AND+SRC%3AMED&format=json&resultType=core	adults randomised, September 1996 to May 2003								
COHO:0001039	owl:NamedIndividual	Women of African Ancestry Breast Cancer Study					308	After quality control, we included 308 cases and 292 controls of African ancestry from WAABCS in the OncoArray consortium.	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-024-01736-4/MediaObjects/41588_2024_1736_MOESM1_ESM.pdf	analysed subset only: cases and controls genotyped in the GAME-ON OncoArray consortium after QC	292	After quality control, we included 308 cases and 292 controls of African ancestry from WAABCS in the OncoArray consortium.	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-024-01736-4/MediaObjects/41588_2024_1736_MOESM1_ESM.pdf	analysed subset only: cases and controls genotyped in the GAME-ON OncoArray consortium after QC
COHO:0001040	owl:NamedIndividual	Wake Forest School of Medicine Study					965	We performed a Genome Wide Association Study (GWAS) using the Affymetrix 6.0 array in 965 African-American cases with T2DM and end-stage renal disease (T2DM-ESRD) and 1029 population-based controls.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A22238593+AND+SRC%3AMED&format=json&resultType=core	analysed subset only: T2DM-ESRD cases and controls in the 2012 GWAS	1029	We performed a Genome Wide Association Study (GWAS) using the Affymetrix 6.0 array in 965 African-American cases with T2DM and end-stage renal disease (T2DM-ESRD) and 1029 population-based controls.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A22238593+AND+SRC%3AMED&format=json&resultType=core	analysed subset only: T2DM-ESRD cases and controls in the 2012 GWAS
COHO:0001041	owl:NamedIndividual	University of Miami/Texas Alzheimer's Research Care Consortium Wave 2/Case Western Reserve University					256	UM/CWRU/TARCC2: The UM/CWRU/TARCC2 sample included 256 cases and 189 controls from the University of Miami, Case Western Reserve University, and the Texas Alzheimer’s Research Care Consortium (wave 2).	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41380-024-02838-5/MediaObjects/41380_2024_2838_MOESM1_ESM.pdf	cases and controls in the ADGC dataset (no total stated)	189	UM/CWRU/TARCC2: The UM/CWRU/TARCC2 sample included 256 cases and 189 controls from the University of Miami, Case Western Reserve University, and the Texas Alzheimer’s Research Care Consortium (wave 2).	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41380-024-02838-5/MediaObjects/41380_2024_2838_MOESM1_ESM.pdf	cases and controls in the ADGC dataset (no total stated)
COHO:0001043	owl:NamedIndividual	Genetics of Long COVID	1829	At the time of analysis, a total of 1829 individuals in the GOLD study had a self-reported COVID-19 diagnosis.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10621206/fullTextXML	subset: participants with a self-reported COVID-19 diagnosis at the time of analysis (2022)								
COHO:0001044	owl:NamedIndividual	Japan COVID-19 Task Force	1674	The median (interquartile range) age of the 1674 patients included in the analysis was 59 (45–71) years, and more than half of the patients (66.2%) were male.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8482546/fullTextXML	hospitalised COVID-19 patients enrolled to date and analysed in the preliminary baseline report (2021)								
COHO:0001045	owl:NamedIndividual	NIDDM-Atherosclerosis Study	188	Clinical characteristics of the seven cohorts comprising GUARDIAN (mean and standard deviation, or percentage) FSIGT cohorts Clamp cohorts Overall P value BetaGene TRIPOD* IRAS* IRAS Family P value HTN-IR MACAD NIDDM-Athero P value Sample Size 1217 217 194 1040 - 708 772 188 - - Number of Pedigrees 390 217 194 88 - 156 208 93	https://pmc.ncbi.nlm.nih.gov/articles/PMC3968231/	family members in the GUARDIAN analysis (93 pedigrees)								
COHO:0001046	owl:NamedIndividual	Dementia Genetics Spanish Consortium	12386	Polygenic Risk Scores APOE stratification for AD in n = 12,386 biologically independent samples from GR@ACE/DEGESCO.	https://pmc.ncbi.nlm.nih.gov/articles/PMC8184987/	AD cases and controls in the GR@ACE/DEGESCO GWAS dataset (2021), including the GR@ACE samples	6331	Polygenic Risk Scores APOE stratification for AD in n = 12,386 biologically independent samples from GR@ACE/DEGESCO.	https://pmc.ncbi.nlm.nih.gov/articles/PMC8184987/	AD cases and controls in the GR@ACE/DEGESCO GWAS dataset (2021), including the GR@ACE samples	6055	Polygenic Risk Scores APOE stratification for AD in n = 12,386 biologically independent samples from GR@ACE/DEGESCO.	https://pmc.ncbi.nlm.nih.gov/articles/PMC8184987/	AD cases and controls in the GR@ACE/DEGESCO GWAS dataset (2021), including the GR@ACE samples
COHO:0001048	owl:NamedIndividual	Australian Breast Cancer Family Study					1610	Overall, we approached 2,303 eligible individuals (ages at diagnosis: <40 years, 1,208; 40-49 years, 551; 50-59 years, 544), which resulted in 1,610 cases, and blood samples were collected from 94% of these cases.	https://pmc.ncbi.nlm.nih.gov/articles/PMC3046454/	breast cancer cases enrolled 1992-1999 (controls not counted in any source read)				
COHO:0001049	owl:NamedIndividual	Asia Colorectal Cancer Consortium					22775	Included in the current study are 22,775 CRC cases and 47,731 controls of East-Asian ancestry from 14 studies conducted in China, Japan, and South Korea (Supplementary Notes, Supplementary Figure 1 and Supplementary Table 1).	https://pmc.ncbi.nlm.nih.gov/articles/PMC6441622/	colorectal cancer cases and controls from 14 studies in the 2019 East Asian GWAS	47731	Included in the current study are 22,775 CRC cases and 47,731 controls of East-Asian ancestry from 14 studies conducted in China, Japan, and South Korea (Supplementary Notes, Supplementary Figure 1 and Supplementary Table 1).	https://pmc.ncbi.nlm.nih.gov/articles/PMC6441622/	colorectal cancer cases and controls from 14 studies in the 2019 East Asian GWAS
COHO:0001051	owl:NamedIndividual	genetic Association study in individuals from Diverse Ancestral backgrounds with Multiple Sclerosis	682	As of 3 January 2023, we have recruited 682 participants (n=446 via the website, n=55 in person at clinical sites and n=181 via the UKMSR).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10193065/fullTextXML	people with MS recruited by 3 January 2023 (recruitment ongoing)								
COHO:0001052	owl:NamedIndividual	ADVANCE trial	1053	A total of 1053 patients underwent randomization from February 2017 through May 2018.	PMID:31339677	participants randomised February 2017 to May 2018								
COHO:0001053	owl:NamedIndividual	Atherosclerotic Disease, Vascular Function, and Genetic Epidemiology Study	3179	Briefly, between October 28, 2001 and December 31, 2003, 3,179 member of the Kaiser Permanente of Northern California health maintenance organization were enrolled into three CAD groups and two control groups.	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fng.3396/MediaObjects/41588_2015_BFng3396_MOESM57_ESM.pdf	Kaiser Permanente members enrolled into three case and two control groups, 2001-2003								
COHO:0001054	owl:NamedIndividual	Antioxydants, Lipides Essentiels, Nutrition et maladies OculaiRes	963	Alienor study is a prospective population-based cohort of 963 residents of Bordeaux, France, who were 73 years or older at baseline (2006-2008).	PMID:34203817	3C Bordeaux participants who had the baseline eye examination, 2006-2008								
COHO:0001055	owl:NamedIndividual	Autopsy-Confirmed Parkinson Disease GWAS Consortium	977	Total number of consented subjects: 977	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000394.v1.p1	consented subjects deposited in dbGaP (genotyped samples)								
COHO:0001056	owl:NamedIndividual	Alcohol-Related Cancers and Genetic susceptibility in Europe					2304	Information and biological data from a total of 2304 cases and 2227 controls have been collected and will be used in a series of analyses.	PMID:18830131	UADT cancer cases and controls with data and samples collected	2227	Information and biological data from a total of 2304 cases and 2227 controls have been collected and will be used in a series of analyses.	PMID:18830131	UADT cancer cases and controls with data and samples collected
COHO:0001058	owl:NamedIndividual	Bavarian Breast Cancer Cases and Controls Study					1538	From 2002–2007, a total of 1538 patients were included in the study ( Fig. 1 ).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10764119/fullTextXML	breast cancer patients included 2002-2007 (controls not counted in any source read)				
COHO:0001059	owl:NamedIndividual	Breast Cancer Employment and Environment Study					1205	The Breast Cancer Employment and Environment Study included 1205 cases with incident breast cancer during 2009-2011 and 1789 controls.	PMID:24270294	incident breast cancer cases 2009-2011 and controls	1789	The Breast Cancer Employment and Environment Study included 1205 cases with incident breast cancer during 2009-2011 and 1789 controls.	PMID:24270294	incident breast cancer cases 2009-2011 and controls
COHO:0001060	owl:NamedIndividual	BiDirect Study	2315	Overall, 2315 participants were recruited for BiDirect-Baseline; 2258 (97.5%) of them matched the final inclusion criteria.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4065391/fullTextXML	participants recruited at baseline 2010-2013 (depression, CVD and reference cohorts)								
COHO:0001061	owl:NamedIndividual	Blue Mountains Eye Study	3654	The baseline examinations (BMES cross-section I) were conducted during 1992–1994 and included 3654 (82.4%) of 4433 eligible residents.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC1524813/fullTextXML	residents examined at baseline 1992-1994 (excludes the 1999-2000 extension)								
COHO:0001063	owl:NamedIndividual	Bio-Repository of DNA in Stroke	4580	BRAINS includes 4580 South Asian and White British recruits from UK, Indian, and Qatar sites with first-ever ischemic stroke.	PMID:37706299	first-ever ischaemic stroke patients recruited in the UK, India and Qatar (analysed subset; controls and haemorrhagic strokes not included), 2023								
COHO:0001064	owl:NamedIndividual	Breast Oncology Galicia Network					1453	BREOGAN Breast Oncology Galicia Network91,92 Population-based case-control study Spain 820 1453 725 1378 0 0	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fnature24284/MediaObjects/41586_2017_BFnature24284_MOESM1_ESM.pdf	cases and controls whose samples were sent for OncoArray genotyping (BCAC), not the whole study	820	BREOGAN Breast Oncology Galicia Network91,92 Population-based case-control study Spain 820 1453 725 1378 0 0	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fnature24284/MediaObjects/41586_2017_BFnature24284_MOESM1_ESM.pdf	cases and controls whose samples were sent for OncoArray genotyping (BCAC), not the whole study
COHO:0001065	owl:NamedIndividual	Kita-Nagoya Genomic Epidemiology Study	3975	It recruited 3975 Japanese subjects aged 50–80 years who underwent community-based annual health checkups between May 2005 and December 2007.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6453927/fullTextXML	residents recruited at annual health check-ups May 2005 to December 2007								
COHO:0001066	owl:NamedIndividual	Cleveland Clinic Atrial Fibrillation Study	363	Total number of consented subjects: 363	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001189.v5.p1	consented subjects in the dbGaP TOPMed study of this name (early-onset AF case set)								
COHO:0001068	owl:NamedIndividual	CLOZUK study	11260	The final sample size was 11,260 cases and 24,542 controls (5,220 cases and 18,823 controls not in previous schizophrenia GWAS; Methods and Supplementary Figs.	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC5918692/unicode	schizophrenia cases in the analysed CLOZUK GWAS sample (after QC), 2018								
COHO:0001069	owl:NamedIndividual	Colorado Longitudinal Twin Study	483	Thus the number of families who have participated in LTS is 483 (male-male twin pairs: 240; female-female twin pairs: 243).	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC3854934/unicode	twin pairs (families) who have participated in the LTS (2012)								
COHO:0001070	owl:NamedIndividual	Combined Small Datasets Collection	1473		https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-026-02583-1/MediaObjects/41588_2026_2583_MOESM4_ESM.xlsx	AD cases and controls of the CSDC in the 2026 ADRD GWAS meta-analysis (raw N)	181		https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-026-02583-1/MediaObjects/41588_2026_2583_MOESM4_ESM.xlsx	AD cases and controls of the CSDC in the 2026 ADRD GWAS meta-analysis (raw N)	1292		https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-026-02583-1/MediaObjects/41588_2026_2583_MOESM4_ESM.xlsx	AD cases and controls of the CSDC in the 2026 ADRD GWAS meta-analysis (raw N)
COHO:0001071	owl:NamedIndividual	Columbia University COVID-19 Biobank	1166	The Biobank recruited COVID-19 cases (n = 1,166) of diverse ancestry among all patients who were treated at Columbia University Irving Medical Center between March and May 2020.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9428108/fullTextXML	COVID-19 cases recruited March-May 2020								
COHO:0001072	owl:NamedIndividual	FIN-D2D 2007	2766	The total number of individuals included was thus 2766 (61% of the original sample).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC2873937/fullTextXML	participants included in analysis (analysed subset after exclusions), 2007								
COHO:0001073	owl:NamedIndividual	DietBB sample	320	This criterion led to the selection of 320 participants.	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-026-02583-1/MediaObjects/41588_2026_2583_MOESM1_ESM.pdf	AgeCoDe participants selected for DietBB	120	This criterion led to the selection of 320 participants.	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-026-02583-1/MediaObjects/41588_2026_2583_MOESM1_ESM.pdf	AgeCoDe participants selected for DietBB	200	This criterion led to the selection of 320 participants.	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-026-02583-1/MediaObjects/41588_2026_2583_MOESM1_ESM.pdf	AgeCoDe participants selected for DietBB
COHO:0001074	owl:NamedIndividual	Dietary, Lifestyle and Genetic Determinants of Obesity and Metabolic Syndrome study	5024	At baseline (n=5024), height, weight and waist circumference (WC) were measured in a health examination and participants self-reported their weight at age 20 years.	https://doi.org/10.1038/ijo.2017.278	participants examined at baseline in 2007								
COHO:0001075	owl:NamedIndividual	Finnish Diabetes Prevention Study	522	A total of 522 subjects with impaired glucose tolerance (IGT) were randomized into the control (n = 257) and intervention (n = 265) groups.	PMID:20980412	randomised participants with IGT (257 control, 265 intervention)								
COHO:0001076	owl:NamedIndividual	Duke study of Functional Endpoints for Age-related Macular Degeneration	101	A total of 101 subjects (33 with eAMD, 47 with iAMD, and 21 normal controls) were recruited.	PMID:36245764	subjects enrolled (33 early AMD, 47 intermediate AMD, 21 controls)								
COHO:0001077	owl:NamedIndividual	Epidemiology of Endometrial Cancer Consortium	5472	Stage 1 included 5,472 women (2,695 cases and 2,777 controls) of European ancestry from seven studies.	PMID:24096698	women in stage 1 (discovery) of the 2013 E2C2 GWAS, from seven member studies	2695	Stage 1 included 5,472 women (2,695 cases and 2,777 controls) of European ancestry from seven studies.	PMID:24096698	women in stage 1 (discovery) of the 2013 E2C2 GWAS, from seven member studies	2777	Stage 1 included 5,472 women (2,695 cases and 2,777 controls) of European ancestry from seven studies.	PMID:24096698	women in stage 1 (discovery) of the 2013 E2C2 GWAS, from seven member studies
COHO:0001078	owl:NamedIndividual	Epidemiology of Dementia in Singapore	957	Screen positives who provided consent (n = 957) participated in the second phase of the study, which included comprehensive clinical and neuropsychological evaluations, together with neuroimaging at the same session.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7021682/fullTextXML	screen-positive participants who consented to phase II (clinical, neuropsychological and MRI assessment)								
COHO:0001079	owl:NamedIndividual	Early-Onset Venous Thrombosis					411	The EOVT case–control study included 411 patients and 1,228 healthy subjects, while MARTHA was composed of 1,542 patients and 1,110 healthy subjects, all the individuals being of European origin, with the majority being of French descent.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC3607886/fullTextXML	VT patients and healthy SU.VI.MAX controls in the EOVT GWAS (2013)	1228	The EOVT case–control study included 411 patients and 1,228 healthy subjects, while MARTHA was composed of 1,542 patients and 1,110 healthy subjects, all the individuals being of European origin, with the majority being of French descent.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC3607886/fullTextXML	VT patients and healthy SU.VI.MAX controls in the EOVT GWAS (2013)
COHO:0001080	owl:NamedIndividual	Family History Risk Study					320	Direct consent for FH-Risk was obtained for 320 cases and 980 controls (Figure 6).	https://doi.org/10.3310/pgfar04110	women who gave direct consent to FH-Risk, recruited Nov 2010-Sep 2012 (breast cancer cases and controls)	980	Direct consent for FH-Risk was obtained for 320 cases and 980 controls (Figure 6).	https://doi.org/10.3310/pgfar04110	women who gave direct consent to FH-Risk, recruited Nov 2010-Sep 2012 (breast cancer cases and controls)
COHO:0001081	owl:NamedIndividual	German Aortic Stenosis Cohort	5732	The German Aortic Stenosis Cohort recruited patients from the German Heart Center Munich and from the University of Bonn/Marburg and contains approximately 5732 participants with aortic valve stenosis recruited.	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-025-02417-6/MediaObjects/41588_2025_2417_MOESM1_ESM.pdf	patients with aortic valve stenosis recruited (approximate)								
COHO:0001083	owl:NamedIndividual	Genotek COVID-19 study	6400	Genotek customer data were added to the study cohort for further analysis as controls (N = 6,400).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11446758/fullTextXML	Genotek customers used as controls (mild to moderate COVID-19) in the severe COVID-19 GWAS (analysed subset), 2024								
COHO:0001084	owl:NamedIndividual	Genetics of Kidneys in Diabetes Study	3075	As of November 2005, GoKinD included 3075 participants who comprise 671 case singletons, 623 control singletons, 272 case trios, and 323 control trios.	PMID:16775037	participants (case and control probands, singletons and trio members including parents) as of November 2005	935	As of November 2005, GoKinD included 3075 participants who comprise 671 case singletons, 623 control singletons, 272 case trios, and 323 control trios.	PMID:16775037	participants (case and control probands, singletons and trio members including parents) as of November 2005	944	As of November 2005, GoKinD included 3075 participants who comprise 671 case singletons, 623 control singletons, 272 case trios, and 323 control trios.	PMID:16775037	participants (case and control probands, singletons and trio members including parents) as of November 2005
COHO:0001085	owl:NamedIndividual	Graz Stroke Study	685	GRAZ Graz, Austria Hospital-based 1992–2011 685 19–101 41 100 0	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC4056331/unicode	ischaemic stroke cases recruited 1992-2011, contributed to SiGN (as of April 2013)								
COHO:0001086	owl:NamedIndividual	Head and Neck 5000	5511	We enrolled 5511 people into the study.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5111771/fullTextXML	people enrolled April 2011 - December 2014								
COHO:0001087	owl:NamedIndividual	International Agency for Research on Cancer Central Europe Study					811	A multicenter case-control study comprising 811 upper aerodigestive tract cancer cases and 1,083 controls was conducted in: Bucharest (Romania), Lodz (Poland), Moscow (Russia), Banska Bystrika (Slovakia), and Olomouc and Prague (Czech Republic).	PMID:16614111	upper aerodigestive tract cancer cases and controls (2002)	1083	A multicenter case-control study comprising 811 upper aerodigestive tract cancer cases and 1,083 controls was conducted in: Bucharest (Romania), Lodz (Poland), Moscow (Russia), Banska Bystrika (Slovakia), and Olomouc and Prague (Czech Republic).	PMID:16614111	upper aerodigestive tract cancer cases and controls (2002)
COHO:0001089	owl:NamedIndividual	International Collaboration for the Genomics of HIV	9705	Although it is the largest collection of genomic data in HIV, this multiethnic sample of 9,705 people is 81.3% male.	PMID:37097752	HIV-1-infected participants with genotype and clinical data pooled in the ICGH viral-load analysis (2023)								
COHO:0001090	owl:NamedIndividual	International Endometriosis Genetics Consortium	762600	The two most recent GWAS analyses of endometriosis, comprising 928,413 participants (including 44,125 cases; 30% non-European ancestry)7 and 762,600 participants of European descent (including 60,674 cases)4, identified up to 45 loci.	https://pmc.ncbi.nlm.nih.gov/articles/PMC13195585/	cases and controls in the 2023 IEGC GWAS meta-analysis	60674	The two most recent GWAS analyses of endometriosis, comprising 928,413 participants (including 44,125 cases; 30% non-European ancestry)7 and 762,600 participants of European descent (including 60,674 cases)4, identified up to 45 loci.	https://pmc.ncbi.nlm.nih.gov/articles/PMC13195585/	cases and controls in the 2023 IEGC GWAS meta-analysis	701926	The two most recent GWAS analyses of endometriosis, comprising 928,413 participants (including 44,125 cases; 30% non-European ancestry)7 and 762,600 participants of European descent (including 60,674 cases)4, identified up to 45 loci.	https://pmc.ncbi.nlm.nih.gov/articles/PMC13195585/	cases and controls in the 2023 IEGC GWAS meta-analysis
COHO:0001091	owl:NamedIndividual	INGI-Val Borbera	1803	As a part of a research program aimed at the identification of genes and variants associated to common disorders, we present here the analysis of a cohort of 1803 adult subjects from Val Borbera, selected based on their ancestry to represent the general population in the valley.	PMID:19847309	adults recruited in Val Borbera (2009)								
COHO:0001092	owl:NamedIndividual	Ischemic Stroke Genetics Study	673	A total of 673 patients were enrolled; 50.5% reported aerobic physical activity less than once a week, 28.5% reported aerobic physical activity one to three times weekly, and 21% reported aerobic physical activity four times a week or more.	PMID:19602474	ischaemic stroke patients enrolled (cases only; no enrolled-control count found), 2009	673	A total of 673 patients were enrolled; 50.5% reported aerobic physical activity less than once a week, 28.5% reported aerobic physical activity one to three times weekly, and 21% reported aerobic physical activity four times a week or more.	PMID:19602474	ischaemic stroke patients enrolled (cases only; no enrolled-control count found), 2009				
COHO:0001093	owl:NamedIndividual	Karolinska Mammography Project for Risk Prediction of Breast Cancer	70877	During the recruitment period, a total of 210 233 women were invited to participate in the KARMA study and 70 877 women (34%) joined the study (Figure 2).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5837703/fullTextXML	women recruited 2011-2013								
COHO:0001094	owl:NamedIndividual	Kathleen Cuningham Foundation Consortium for Research into Familial Breast Cancer	11422	Data are available for 11,422 consented participants, including 900 carriers of pathogenic or splice site BRCA1 or BRCA2 mutations, and germline DNA biospecimens for 7,389, including 773 carriers.	https://pmc.ncbi.nlm.nih.gov/articles/PMC1413975/	people (from the first 822 families) with data held (2006)								
